"Mean","Median","SD","lcl","ucl","Rhat","parameter","Year","demographic"
0.500178289839216,0.500123512842628,0.000178454400351579,0.500004651432702,0.500654987634309,1.0002701180743,"agebeta",NA,"agebeta"
12020.154192293,12019.8454693742,29.0938648078802,11964.2676538387,12077.9776560403,1.00045197369946,"deviance",NA,"deviance"
1.00030634406775,1.0004070582896,0.00336838418806858,0.993565037774077,1.00671065891966,1.00122511688399,"fut.growth.rate[1]",NA,"fut.growth.rate[1]"
1.02112279821541,1.02119858645397,0.00357451573722446,1.01402185959324,1.0279686611698,1.00111547371498,"fut.growth.rate[2]",NA,"fut.growth.rate[2]"
0.937744566038405,0.937774912832581,0.00348758476642866,0.930889494237818,0.944483265809593,1.00153414372404,"fut.growth.rate[3]",NA,"fut.growth.rate[3]"
0.319712332217213,0.319684321149144,0.0102234912075938,0.301943007749539,0.337675249193646,1.00112541763894,"mean.fec",NA,"mean.fec"
0.966333442374019,0.966458656387513,0.00316151145932018,0.95989925608545,0.972257752951133,1.0014484741593,"mean.phi.ad",NA,"mean.phi.ad"
0.89736296186954,0.898164856057541,0.00264693676395417,0.890193195440348,0.899933511665506,1.00411161906399,"mean.phi.juv",NA,"mean.phi.juv"
0.975515642420306,0.980743836480971,0.0191863755913086,0.924625672857905,0.996208377235662,1.00000266757254,"phi.ad[1]",1979,"phi.ad[1]"
0.96712062193727,0.973754342963069,0.0244759178174102,0.903183383033462,0.995143003521356,1.00007753191607,"phi.ad[10]",1983,"phi.ad[10]"
0.936577225290689,0.943395332375956,0.0395631948946622,0.844216273641617,0.991364765744914,1.00029571762934,"phi.ad[11]",1984,"phi.ad[11]"
0.849782799743868,0.850169347114165,0.060377623832972,0.730327388007451,0.964495812195693,1.00001554576802,"phi.ad[12]",1984,"phi.ad[12]"
0.887762838470568,0.890737207019071,0.0505396444982419,0.780762798358288,0.975929079365684,1.00014892082521,"phi.ad[13]",1985,"phi.ad[13]"
0.92155744852011,0.92725847717653,0.0448996189722033,0.821269278286691,0.988761174808035,1.00028219359946,"phi.ad[14]",1985,"phi.ad[14]"
0.924268415673542,0.939154561960066,0.0569654478086752,0.784743743184634,0.992367739091733,1.00026994843723,"phi.ad[15]",1986,"phi.ad[15]"
