lcl,Median,ucl,Mean,SD,Mode,MCerr,MC.ofSD,SSeff,AC.100,Rhat,parameter,Year,demographic,Scenario
3810.74455907354,4203.06453529181,4631.15097590415,4210.61484993262,209.427514505763,4191.53644381439,5.62743881768087,2.7,1385,0.808469651410698,1.00318267449147,"Ntot.f[2,3]",2024,pop.size,after successful mouse eradication
3460.09664238837,3791.9074389681,4153.52697379951,3799.19609740794,177.772060273982,3785.28315876612,4.29502531370974,2.4,1713,0.787679134829503,1.00360220961232,"Ntot.f[3,3]",2024,pop.size,unsuccessful mouse eradication and worsening impacts
3495.58629512574,3875.39066984349,4299.6744109455,3885.25764385342,205.175758389114,3853.47021713377,5.28310096609502,2.6,1508,0.805817716316378,1.00362589142865,"Ntot.f[1,4]",2025,pop.size,"past, and no future change"
3788.67133521758,4253.81328207785,4752.26833384725,4263.67130579776,245.378772829138,4236.11898387324,7.10413672733321,2.9,1193,0.826367989505215,1.00305781259176,"Ntot.f[2,4]",2025,pop.size,after successful mouse eradication
3296.06443857055,3659.45161168091,4063.18665038974,3668.13892886155,195.760464112246,3643.72018693431,4.98643477885182,2.5,1541,0.798397942214638,1.00358368004993,"Ntot.f[3,4]",2025,pop.size,unsuccessful mouse eradication and worsening impacts
3412.29557630498,3838.13447222843,4314.63818256503,3849.61283574585,229.911449332462,3825.63512415611,6.21013125866099,2.7,1371,0.817072998743352,1.00350544963697,"Ntot.f[1,5]",2026,pop.size,"past, and no future change"
3762.92649417607,4311.80239082732,4889.22300964692,4324.28958909495,286.795477947461,4291.55218535897,8.81428616218717,3.1,1059,0.840806167626328,1.00290608656611,"Ntot.f[2,5]",2026,pop.size,after successful mouse eradication
3111.30645086495,3509.15096893656,3944.06534583324,3519.20704253878,212.960563687119,3485.16138866952,5.70542393401321,2.7,1393,0.807061357013743,1.00350923592294,"Ntot.f[3,5]",2026,pop.size,unsuccessful mouse eradication and worsening impacts
3324.0173322267,3801.37522896573,4327.87575274169,3814.84642446863,255.745719914477,3769.4005758024,7.06331503340588,2.8,1311,0.825842243433171,1.00332534460312,"Ntot.f[1,6]",2027,pop.size,"past, and no future change"
3754.6340639608,4363.57778198349,5048.3155767402,4379.70285784793,329.190440817673,4329.19800637787,10.5062362152019,3.2,982,0.850585513313662,1.00278121457186,"Ntot.f[2,6]",2027,pop.size,after successful mouse eradication
2921.10618291207,3343.31853147777,3817.9611768459,3355.21434192608,228.330448597504,3328.86301853313,6.32773499322489,2.8,1302,0.81355336675754,1.00340422525101,"Ntot.f[3,6]",2027,pop.size,unsuccessful mouse eradication and worsening impacts
3234.7910231823,3765.32959654634,4343.0250014254,3781.14778104242,282.141894231653,3721.5820339333,8.04185356576093,2.9,1231,0.833061646839788,1.00317816243322,"Ntot.f[1,7]",2028,pop.size,"past, and no future change"
3710.67469191352,4414.90111981826,5176.34874743733,4434.81860746104,373.613070584682,4376.92020273363,12.2437155704107,3.3,931,0.858158350700472,1.00270298554522,"Ntot.f[2,7]",2028,pop.size,after successful mouse eradication
2717.30224848856,3166.54546086681,3661.49239733157,3179.58189595538,241.020630410841,3144.44624886206,6.78224924045746,2.8,1263,0.818337052984758,1.00330680514383,"Ntot.f[3,7]",2028,pop.size,unsuccessful mouse eradication and worsening impacts
3160.17132381507,3729.86247250915,4371.87639847126,3748.20554161937,308.726145452569,3713.52794046973,9.01994521572308,2.9,1171,0.838779764924796,1.0030355146903,"Ntot.f[1,8]",2029,pop.size,"past, and no future change"
3690.28299839718,4465.08943801778,5331.07413085105,4488.70312735873,418.964756874452,4430.08298306636,13.7926935008621,3.3,923,0.863819744419602,1.00267797644447,"Ntot.f[2,8]",2029,pop.size,after successful mouse eradication
2524.35110242017,2980.67402216768,3506.71698996686,2995.08082950833,250.846404475708,2963.41103662368,7.19977979616583,2.9,1214,0.821858532227252,1.00322986347176,"Ntot.f[3,8]",2029,pop.size,unsuccessful mouse eradication and worsening impacts
3082.4785698484,3695.92505934899,4394.88943013511,3716.47528891178,335.525698376134,3659.75903021411,10.0344921700213,3,1118,0.843437383958026,1.00293885066397,"Ntot.f[1,9]",2030,pop.size,"past, and no future change"
3643.99838599604,4514.62584767595,5468.16942494444,4542.08593338745,466.171687196809,4481.30339128932,16.0209528233044,3.4,847,0.868271992109837,1.00263010883806,"Ntot.f[2,9]",2030,pop.size,after successful mouse eradication
2322.95172976433,2789.44628457058,3330.6305406344,2805.20082705882,257.712744295341,2771.6918528057,7.50712447609778,2.9,1178,0.824400300896474,1.0031436386868,"Ntot.f[3,9]",2030,pop.size,unsuccessful mouse eradication and worsening impacts
2993.70511448459,3661.94974790168,4410.27857044182,3685.53591607185,362.461323545294,3629.87572791436,11.009033418683,3,1084,0.847161191256438,1.00283009486731,"Ntot.f[1,10]",2031,pop.size,"past, and no future change"
