"Mean","Median","SD","lcl","ucl","Rhat","parameter","Year","demographic"
0.32158782661983,0.309255432272093,0.136297936121452,0.0977205700551932,0.615328543424344,1.00003482913426,"p.ad[1]",1978,"breed.propensity"
0.275392009762863,0.268793709046093,0.0890388739173399,0.121606206957811,0.466441827987255,1.00002070225859,"p.ad[2]",1979,"breed.propensity"
0.0491726688790252,0.045757313128492,0.02185275477946,0.0167530356166103,0.100905725575536,1.00002488972675,"p.ad[3]",1980,"breed.propensity"
0.171926622327919,0.168619960463041,0.0421552520972895,0.099064888676561,0.263363984141014,1.00000284306088,"p.ad[4]",1981,"breed.propensity"
0.0482919335570628,0.0455074389686674,0.0196848034947577,0.0183302142683111,0.0945790046834065,1.00002676878214,"p.ad[5]",1982,"breed.propensity"
0.0715053162403504,0.068804449808425,0.023884050743537,0.0326843049989866,0.125455496321175,1.00001478960548,"p.ad[6]",1983,"breed.propensity"
0.0450434190811922,0.0428895359953379,0.0166726886587091,0.0188667595376793,0.0833647228478555,1.00004643287728,"p.ad[7]",1984,"breed.propensity"
0.169655933329061,0.168042978738294,0.0310677382366091,0.113537590853511,0.234618455714844,1.00023868482266,"p.ad[8]",1985,"breed.propensity"
0.0379001869067752,0.035855760508743,0.0149828753497441,0.014747683092092,0.0727499286973747,1.00001745164056,"p.ad[9]",1986,"breed.propensity"
0.0758927697371404,0.0740028845278999,0.020723536919708,0.0408100616464815,0.121451324805489,1.0000861546487,"p.ad[10]",1987,"breed.propensity"
0.316342921597542,0.315586640259698,0.0352021797882476,0.249464892213195,0.387276619373195,1.00022502836764,"p.ad[11]",1988,"breed.propensity"
0.0734585503724195,0.0721074519379131,0.0177022563431006,0.0428478416345345,0.111890817015196,1.00000689193498,"p.ad[12]",1989,"breed.propensity"
0.193673149230269,0.192600284469903,0.0280895586924232,0.142274232079592,0.251669362756161,1.0001153505017,"p.ad[13]",1990,"breed.propensity"
0.117465764789291,0.116275234046749,0.0222220603729661,0.0777033492103015,0.164504655172129,1.00006427315376,"p.ad[14]",1991,"breed.propensity"
0.0551323323186532,0.0536367070108802,0.0156746244475028,0.0288107290249402,0.0899597427237885,1.00002309420799,"p.ad[15]",1992,"breed.propensity"
0.13233488711552,0.131124033971945,0.0235893303887666,0.0896665260516269,0.181900159573924,1.00018426596852,"p.ad[16]",1993,"breed.propensity"
0.0926824031324294,0.0913370915999641,0.0202277262559924,0.0571353659073517,0.135983169608931,1.00004523782204,"p.ad[17]",1994,"breed.propensity"
0.0337785157726127,0.0322135770977094,0.0123254458195337,0.0142486487384008,0.062036889085896,1.00000720305079,"p.ad[18]",1995,"breed.propensity"
0.376081761672504,0.375785938471575,0.0322529697150388,0.314041897082635,0.440059997073085,1.00044319758103,"p.ad[19]",1996,"breed.propensity"
0.100478347046105,0.0994147614286611,0.0182436483704009,0.0678398945509995,0.139150309672296,1.00004492498966,"p.ad[20]",1997,"breed.propensity"
0.092762595271346,0.0917483589637765,0.0173777455003065,0.0617552715159612,0.129841625472696,1.00002974136648,"p.ad[21]",1998,"breed.propensity"
0.580430082024453,0.580719545091938,0.0256841811617527,0.52946759945735,0.629886494438339,1.00094614818852,"p.ad[22]",1999,"breed.propensity"
0.0454822998832533,0.0447484752992551,0.00974203243596765,0.0285634972794312,0.0665845203891493,1.00006028129048,"p.ad[23]",2000,"breed.propensity"
0.0182394198576534,0.0175342433295958,0.00606347624631394,0.0084565371754803,0.031999515093254,1.0000411903365,"p.ad[24]",2001,"breed.propensity"
0.510315020971204,0.510412397756987,0.0234689800972588,0.464205817657381,0.5561848736331,1.00026496436385,"p.ad[25]",2002,"breed.propensity"
0.0151939680577983,0.0145675573620553,0.00528385975357535,0.00675351448590276,0.0272162247869518,1.00002955075112,"p.ad[26]",2003,"breed.propensity"
0.388319443408189,0.388271240172428,0.0211631679918436,0.346982363256096,0.429894688177832,1.00038709145493,"p.ad[27]",2004,"breed.propensity"
0.344752913570174,0.34473973937012,0.0139095331861219,0.317547572351051,0.37214608834386,1.00104037666815,"p.ad[28]",2005,"breed.propensity"
0.329509722874844,0.329143586133956,0.0147658304388243,0.301456212955924,0.35949468385422,1.00053476690746,"p.ad[29]",2006,"breed.propensity"
0.432004333891791,0.43165241363448,0.0120440166241633,0.409260591600611,0.456639780039697,1.00033971152781,"p.ad[30]",2007,"breed.propensity"
0.480680261709296,0.480595029571217,0.0110031631588803,0.459161020538297,0.502580897237123,1.00011643929589,"p.ad[31]",2008,"breed.propensity"
0.460599193190751,0.460645522520566,0.0114421326161059,0.438029227078347,0.482982830984169,1.00005178707822,"p.ad[32]",2009,"breed.propensity"
0.467791845142042,0.467886870225102,0.011546488170213,0.44497920004023,0.490408701555762,1.00013112417392,"p.ad[33]",2010,"breed.propensity"
0.353743058504975,0.353612811690312,0.0134604802518489,0.327667079391905,0.380328858772184,1.00040177060892,"p.ad[34]",2011,"breed.propensity"
0.445196723721676,0.445278487927435,0.0127824497922237,0.419983082039635,0.470034839129686,1.00007650096749,"p.ad[35]",2012,"breed.propensity"
0.550467679229185,0.550406532114143,0.0126317794998797,0.526086756516307,0.575494759101615,1.00044613264336,"p.ad[36]",2013,"breed.propensity"
0.486643869296382,0.486591880089595,0.0130497398019675,0.461304112345356,0.512373720085265,1.0001912880311,"p.ad[37]",2014,"breed.propensity"
0.553403662213605,0.553352787150135,0.0129494144894018,0.528253078850059,0.578923391570031,1.0003993917007,"p.ad[38]",2015,"breed.propensity"
