parameter,mean,median,lcl,ucl
"IM[13,17,1]",20.08144,18,10,39
"IM[13,18,1]",16.8033116666667,14,7,36
"IM[13,19,1]",4.94489166666667,5,3,8
"IM[13,2,1]",89.0849533333333,89,65,116
"IM[13,20,1]",2.53172166666667,2,1,5
"IM[13,21,1]",1.314805,1,1,3
"IM[13,22,1]",1.07851833333333,1,1,2
"IM[13,23,1]",1.03938166666667,1,1,2
"IM[13,24,1]",1.01084333333333,1,1,1
"IM[13,25,1]",0.998816666666667,1,1,1
"IM[13,26,1]",0.983853333333333,1,1,1
"IM[13,27,1]",0.978905,1,1,1
"IM[13,28,1]",0.976581666666667,1,1,1
"IM[13,29,1]",0.975951666666667,1,1,1
"IM[13,3,1]",217.600351666667,217,173,266
"IM[13,30,1]",0.976306666666667,1,1,1
"IM[13,4,1]",102.815435,102,79,129
"IM[13,5,1]",163.302261666667,162,119,213
"IM[13,6,1]",57.61343,57,42,75
"IM[13,7,1]",89.9931916666667,90,61,121
"IM[13,8,1]",31.141915,31,21,43
"IM[13,9,1]",57.9937466666667,59,30,85
"IM[14,1,1]",85.4908733333333,85,62,111
"IM[14,10,1]",48.169825,49,23,73
"IM[14,11,1]",52.9369766666667,50,30,89
"IM[14,12,1]",15.7055066666667,16,10,22
"IM[14,13,1]",140.032953333333,140,109,172
"IM[14,14,1]",24.9427366666667,25,18,32
"IM[14,15,1]",29.22528,29,16,44
"IM[14,16,1]",18.6389383333333,17,11,36
"IM[14,17,1]",18.81282,18,8,35
"IM[14,18,1]",13.9952083333333,11,5,32
"IM[14,19,1]",11.8724533333333,9,4,30
"IM[14,2,1]",190.710545,190,152,233
"IM[14,20,1]",2.87336666666667,3,1,5
"IM[14,21,1]",1.469845,1,0,4
"IM[14,22,1]",1.05883166666667,1,0,3
"IM[14,23,1]",0.963646666666667,1,0,2
"IM[14,24,1]",0.926153333333333,1,0,2
"IM[14,25,1]",0.903085,1,0,1
"IM[14,26,1]",0.893755,1,0,1
"IM[14,27,1]",0.883505,1,0,1
