"Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.100","Rhat","parameter","Year","demographic"
0.359736777552565,0.375244889981592,0.388604330326021,0.374677689100287,0.0074449301367596,0.376115387726079,0.000330032546571775,4.4,509,0.960366636113176,1.00395691126472,"breed.prop[1]",2004,"breed.prop[1]"
0.437440174100207,0.466559475740975,0.49661038238656,0.466716305160276,0.0151229585820011,0.466731073579454,0.00014804737853876,1,10435,0.239669457678177,1.00017241120369,"breed.prop[10]",2013,"breed.prop[10]"
0.42264611603736,0.464046237999292,0.504577866762998,0.463975788952099,0.0212531641170231,0.465210058561715,0.00017170930882433,0.8,15320,0.211002798512909,1.0000113446244,"breed.prop[11]",2014,"breed.prop[11]"
0.445609018457528,0.485229839262485,0.525910438772503,0.485417473745197,0.020726123588834,0.484777523539398,0.000191232647713892,0.9,11747,0.36515458097643,1.00004580071397,"breed.prop[12]",2015,"breed.prop[12]"
0.35,0.379955615919336,0.404558482434887,0.380050106812777,0.0146679993671931,0.379806908637436,0.000134402579599636,0.9,11910,0.193658295198179,1.00012611805211,"breed.prop[13]",2016,"breed.prop[13]"
0.483803218517767,0.516947406067546,0.550710939806677,0.516924582117032,0.0171117031059257,0.516994812760543,0.000112715168832136,0.7,23047,0.210703895157499,1.0000439942939,"breed.prop[14]",2017,"breed.prop[14]"
0.518830697479878,0.549239249132675,0.581217089053747,0.549697348637352,0.0157655238938939,0.548231944672719,0.00010438084440661,0.7,22813,0.188585413839537,1.00001684596352,"breed.prop[15]",2018,"breed.prop[15]"
0.686660778197486,0.713904535717616,0.740218563988252,0.713700818243297,0.0136104986600777,0.714542698267826,0.000111946945237424,0.8,14782,0.3598267642799,1.00065486010615,"breed.prop[16]",2019,"breed.prop[16]"
0.516413830142616,0.554180141758864,0.595321798617981,0.554954438405752,0.020776407525312,0.551420869660732,0.000147115688708822,0.7,19944,0.348810856699784,1.00093041111781,"breed.prop[17]",2020,"breed.prop[17]"
0.667695346215084,0.696266513404834,0.725496644341259,0.696235286267103,0.0148000040752764,0.696651223488719,0.000163370386594004,1.1,8207,0.241619431080202,1.0003810480851,"breed.prop[18]",2021,"breed.prop[18]"
0.35,0.35,0.35,0.35,0,NA,NA,NA,NA,NA,NA,"breed.prop[2]",2005,"breed.prop[2]"
0.429936224587129,0.457152626304474,0.481498533781302,0.456526816905691,0.0132708377473694,0.458017143616224,0.000200307486212331,1.5,4389,0.300367091353451,1.00043927327337,"breed.prop[3]",2006,"breed.prop[3]"
0.413422764174979,0.453343313510863,0.485074487852099,0.451495067194396,0.0183933092544487,0.45687112238137,0.000329846158592731,1.8,3110,0.276334523420289,1.00117704866995,"breed.prop[4]",2007,"breed.prop[4]"
0.463625186970932,0.490192004326144,0.517868292322276,0.490491240214846,0.0138302398221933,0.490278119538819,0.000198361790423109,1.4,4861,0.292272471060031,1.00076902850058,"breed.prop[5]",2008,"breed.prop[5]"
0.489708598576705,0.52080507105561,0.550957066113421,0.520606625007408,0.0156134426773014,0.52073730546569,0.000146575312588967,0.9,11347,0.185619289743974,1.00039228940793,"breed.prop[6]",2009,"breed.prop[6]"
0.437858608360847,0.474435988821336,0.517024235643676,0.475809039063571,0.0199353724258141,0.472500704855374,0.000151339778945075,0.8,17352,0.217535882920289,1.00012387466202,"breed.prop[7]",2010,"breed.prop[7]"
0.362196261126618,0.397439624488236,0.434102128668684,0.39752259842622,0.0183097366646627,0.397792865306005,0.000171517882992415,0.9,11396,0.216562074842252,1.0000666381244,"breed.prop[8]",2011,"breed.prop[8]"
0.425381212184553,0.460049026887303,0.493951090318116,0.459561612586957,0.0177046897808621,0.46111601800751,0.000114728455558439,0.6,23814,0.176301108507685,1.00001910437715,"breed.prop[9]",2012,"breed.prop[9]"
