"Mean","Median","SD","lcl","ucl","Rhat","parameter","Year"
1.11041869178613,1.11039432266092,0.0722782590887064,0.974246160373665,1.24812051718242,1.0172798103161,"fut.lambda[12]",2030
0.951356802689919,0.950411110547753,0.0515780518770425,0.852155727486066,1.05259781911482,1.00327719041096,"fut.lambda[13]",2031
1.05857896261901,1.05862716214475,0.0460180881525752,0.968598717656878,1.14788061232272,1.03465231012308,"fut.lambda[14]",2032
0.98039730818759,0.981430912069907,0.0381313721440946,0.902281273266319,1.05227132060547,1.00338871963506,"fut.lambda[15]",2033
1.04204317004086,1.04281896376276,0.0355873327674699,0.970049784245293,1.10986267166042,1.03652067398243,"fut.lambda[16]",2034
0.993320382805606,0.994970240554813,0.0330479326457233,0.92375361621966,1.05352374813069,1.00390467715949,"fut.lambda[17]",2035
1.03455888083269,1.03576437802246,0.0321752006560928,0.96733208725895,1.0943571114189,1.03132924464138,"fut.lambda[18]",2036
1.00073336594368,1.00254345107172,0.0313160615825088,0.934165487217574,1.05678265432138,1.00546896557341,"fut.lambda[19]",2037
1.03630476678724,1.03769045709703,0.0326907193573162,0.967894616127475,1.0962998728938,1.02417315480988,"fut.lambda[20]",2038
1.00207922254367,1.00407885791978,0.031392518902329,0.934394611899627,1.05766715602629,1.00640691188585,"fut.lambda[21]",2039
1.03102880972107,1.03260254835772,0.0317366803286614,0.963841369947007,1.08875749091266,1.02361035270216,"fut.lambda[22]",2040
1.00671607189094,1.00891735522847,0.0307102737407212,0.940024479804162,1.06091687921322,1.00727141836149,"fut.lambda[23]",2041
1.02510546844572,1.0270618556701,0.0306419123052119,0.958803604818898,1.07966363568648,1.02364157202896,"fut.lambda[24]",2042
1.01036186976471,1.01255299238513,0.0302410397420012,0.943955797565663,1.06289898561456,1.00899051091583,"fut.lambda[25]",2043
1.02161772094303,1.02386791185839,0.0301163986165433,0.95585381767071,1.07409815287405,1.02095051020492,"fut.lambda[26]",2044
1.01248857696631,1.0148849797023,0.0297283508853593,0.947019584536141,1.06360820298922,1.01077486548973,"fut.lambda[27]",2045
1.01976700852644,1.02219206189066,0.0297921240312326,0.95414421630018,1.07097794055244,1.02086023014611,"fut.lambda[28]",2046
1.01387629718643,1.01649249650096,0.0293907475777894,0.948520506953001,1.06391769769001,1.01143596294892,"fut.lambda[29]",2047
1.01909474429444,1.02175664786463,0.0295548441117174,0.953453866783568,1.06914732805542,1.01918816950225,"fut.lambda[30]",2048
0.277973978763344,0.277692366519977,0.0105025591246349,0.258634481505774,0.298512450199551,1.01180430450513,"ann.fec[1]",2001
0.197741304111457,0.196806573724124,0.0179485340236321,0.164798237303822,0.23514456901611,1.0068577982016,"ann.fec[2]",2002
0.336829197439371,0.334470275780195,0.0969088605854127,0.183648211648019,0.54977837802493,1.08791713624882,"ann.fec[3]",2003
0.273836384449087,0.2736306447397,0.0119554103648629,0.250965310254627,0.297776651260415,1.02175158878067,"ann.fec[4]",2004
0.437174240535763,0.436876704737897,0.0186261646450545,0.401736529498154,0.474427477085053,1.00888365257534,"ann.fec[5]",2005
0.455841823365055,0.455583527461726,0.0175381584958789,0.422121564510282,0.49093512508803,1.02784436415231,"ann.fec[6]",2006
0.354667322037939,0.354443846501921,0.0158208654994942,0.324319535971142,0.386279607259788,1.01613414958985,"ann.fec[7]",2007
0.140674674326929,0.140491016497706,0.00882745797362552,0.123841327559056,0.158526017909778,1.01008834653622,"ann.fec[8]",2008
