"Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.100","Rhat","parameter","Year","demographic"
0.196895414590192,0.217237421439873,0.23769655353951,0.217359202107589,0.0104527697210837,0.217277336771423,5.87694550105456e-05,0.6,31634,0.114509758140931,1.00004416167552,"ann.fec[15]",2018,"fecundity"
0.266434084492557,0.286928053553719,0.307637635201234,0.286956087643503,0.0105252610270091,0.287130354204446,4.29691982096239e-05,0.4,60000,0.00190346860455022,1.00014826334817,"ann.fec[16]",2019,"fecundity"
0.345700696157005,0.3691617679171,0.392895147372977,0.369183752652294,0.0120336700950177,0.368609202367076,4.91331736778166e-05,0.4,59986,-0.000387869067046263,1.00000324938951,"ann.fec[17]",2020,"fecundity"
0.23123785877393,0.318438696608903,0.412474332818156,0.319913440527297,0.0462983235404652,0.318298277198804,0.000189789193758664,0.4,59510,0.00199861394503136,1.00020443165991,"ann.fec[18]",2021,"fecundity"
0.306023806873633,0.313664730312134,0.321378355429385,0.313681178309847,0.00393191936893405,0.313619516412116,2.18305505850698e-05,0.6,32440,0.0470666065115484,0.999985671767627,"mean.fec",NA,"fecundity"
0.967158728181555,0.972373171658329,0.977917576439441,0.972438239910909,0.00272370452820955,0.972347156121892,4.91076678286397e-05,1.8,3076,0.424215202346922,1.00143836546126,"pop.growth.rate",NA,"growth.rate"
0.971527969444061,0.988698249293374,1.00626083624823,0.988749057743286,0.00882740594309394,0.988996843881111,0.000443183870908798,5,397,0.887825476821339,1.00648733441829,"fut.growth.rate[1]",NA,"growth.rate"
0.98807468039671,1.00759241858011,1.02928662201925,1.00774065493393,0.0104052827504034,1.00764845095961,0.000546479616423942,5.3,363,0.909984736778809,1.007299681717,"fut.growth.rate[2]",NA,"growth.rate"
0.921978785919717,0.937914494008062,0.954410575064166,0.937954179697237,0.0082765322207983,0.937646262322875,0.000385594920459625,4.7,461,0.841559769304778,1.00674184595799,"fut.growth.rate[3]",NA,"growth.rate"
4810.12849327734,5016.89756137426,5305.46809258683,5030.97798854171,126.06422262955,4991.60503756513,9.28606322461804,7.4,184,0.983877659273399,1.0272587947923,"Ntot[1]",2004,"pop.size"
4947.18184396391,5246.38048843391,5606.93011735012,5254.64883034897,166.426559668459,5235.16776841741,7.84818163496888,4.7,450,0.891426860805985,1.0158052343269,"Ntot[2]",2005,"pop.size"
4790.59886358354,5113.34560728795,5484.25851478761,5124.2299189771,174.704628065685,5100.13606545466,8.05751505808867,4.6,470,0.905187777818763,1.01799668117929,"Ntot[3]",2006,"pop.size"
4903.69487794287,5280.82557634527,5687.82359024444,5291.30519649123,198.476986768098,5255.79000895933,8.80536982359843,4.4,508,0.883269871679626,1.01671552991694,"Ntot[4]",2007,"pop.size"
4610.66808401723,4985.96561543256,5425.26407318416,5002.88431662456,208.768067052674,4963.58610855424,7.56413488629676,3.6,762,0.761443498034256,1.01158919821781,"Ntot[5]",2008,"pop.size"
4271.64439091117,4515.90785279589,4789.20922158748,4520.73936467201,131.216283612264,4510.86020631523,4.17704086405529,3.2,987,0.684912633719531,1.01505522103637,"Ntot[6]",2009,"pop.size"
4152.47617845649,4390.57679908024,4649.26737218447,4394.1812838352,126.401967633146,4386.12184090441,3.5589875695179,2.8,1261,0.721589035808777,1.01072413130289,"Ntot[7]",2010,"pop.size"
4107.60724529934,4342.52737694843,4593.07762739161,4347.14622870379,123.868823534423,4335.0652800442,3.16674594336128,2.6,1530,0.748515448258099,1.01154273782109,"Ntot[8]",2011,"pop.size"
4215.51954308514,4469.58732959709,4752.65191083555,4474.14070887419,136.530365243555,4460.74944144512,3.74596779366508,2.7,1328,0.770727805063839,1.01371609645295,"Ntot[9]",2012,"pop.size"
4110.27217554791,4368.89430722096,4648.70296406759,4373.48390520074,137.159291654036,4365.26453224754,3.17972230705031,2.3,1861,0.705315099469136,1.01209308728146,"Ntot[10]",2013,"pop.size"
3791.78027246137,4023.48441544589,4273.13919238596,4027.46021508695,122.795108248246,4022.13621324215,2.50282178072921,2,2407,0.682690350874422,1.01089339106759,"Ntot[11]",2014,"pop.size"
3695.11321093011,3906.7390714614,4140.32584954114,3910.1863924594,112.946318827888,3902.79181948395,2.34004922473192,2.1,2330,0.752227806480505,1.01128400687127,"Ntot[12]",2015,"pop.size"
3776.86975543071,4023.32426727074,4281.04759447319,4027.19119935993,127.987241950507,4022.38255210137,2.97144319530627,2.3,1855,0.771268163525199,1.01420250179698,"Ntot[13]",2016,"pop.size"
3470.50051588483,3657.42049861074,3854.60499987504,3659.86493421453,97.6747357073608,3657.45569700252,1.80175642550973,1.8,2939,0.705057594148275,1.00902317110267,"Ntot[14]",2017,"pop.size"
3591.13438380389,3795.58879156512,4014.24845626241,3796.98292669779,107.792788622784,3790.08727149362,2.19678650770228,2,2408,0.754151370213919,1.01455214564513,"Ntot[15]",2018,"pop.size"
3467.46941323819,3658.28894554495,3854.13079517957,3659.8080190456,98.961837171942,3651.62454753003,2.03021748565738,2.1,2376,0.850882440749705,1.01363094575871,"Ntot[16]",2019,"pop.size"
3633.2896698665,3841.71356753758,4049.69690335018,3843.85225893352,106.455835620097,3840.7342543002,2.328477711417,2.2,2090,0.834630842167526,1.014974567951,"Ntot[17]",2020,"pop.size"
2853.81510670212,3122.97906624423,3415.58322747106,3130.34707935173,142.965055415848,3110.24767959661,1.7139298971898,1.2,6958,0.368132812830146,1.00433511567479,"Ntot[18]",2021,"pop.size"
2941.14896700543,3226.98250907373,3549.15147961074,3233.6502934583,153.930519426108,3220.43696643697,2.79248218942077,1.8,3039,0.404465518919993,1.00598162241155,"Ntot.f[1,1]",2022,"pop.size"
2933.56561808707,3226.99590453397,3541.44994970682,3233.76486314344,154.066980215632,3210.22431997797,2.7732002230039,1.8,3086,0.404408104241558,1.00600419810147,"Ntot.f[2,1]",2022,"pop.size"
2934.32593792116,3227.2073102379,3541.1014872768,3233.82119543543,153.992638322406,3217.19086016189,2.78773637187105,1.8,3051,0.404320708990913,1.0059510830766,"Ntot.f[3,1]",2022,"pop.size"
2859.22398300627,3165.36513482206,3492.95604147094,3171.83369203182,160.398983086978,3154.68763147433,3.50661522981802,2.2,2092,0.450240822295543,1.00688862677516,"Ntot.f[1,2]",2023,"pop.size"
2936.08688219287,3246.52683309083,3587.72440437388,3253.82117965522,165.994281908599,3230.83338087174,3.56157255048429,2.1,2172,0.455976655583605,1.00610240919899,"Ntot.f[2,2]",2023,"pop.size"
2825.69811442252,3125.98647173658,3450.58584845339,3133.07163375606,159.193204008424,3118.09451780416,3.47640825409991,2.2,2097,0.450260510551954,1.00681282769082,"Ntot.f[3,2]",2023,"pop.size"
2811.12150305725,3129.939279255,3487.59697425659,3136.81547440842,172.353843381525,3118.94058175291,4.48992725732175,2.6,1474,0.509326225305761,1.00731757660333,"Ntot.f[1,3]",2024,"pop.size"
2952.31210573712,3310.07986079363,3699.51414233809,3318.41297544913,191.39635231953,3294.7216865936,5.4962715547107,2.9,1213,0.548107530796974,1.00622375684729,"Ntot.f[2,3]",2024,"pop.size"
2715.38651002663,3033.33863255529,3375.45194831704,3040.5004590411,168.428812225911,3021.04244846277,4.36617144470386,2.6,1488,0.507442978993954,1.00732519082851,"Ntot.f[3,3]",2024,"pop.size"
2743.29561992501,3092.54079794034,3476.46443152372,3099.87027805206,187.272236015068,3079.59384687447,5.44200133355303,2.9,1184,0.568786907533989,1.0076757783493,"Ntot.f[1,4]",2025,"pop.size"
2921.86725095482,3338.01216556515,3766.18472119703,3347.99755498022,216.672357516047,3324.79530493357,7.06167510577612,3.3,941,0.616376659163443,1.00664377208789,"Ntot.f[2,4]",2025,"pop.size"
2584.66447191041,2921.32971273086,3283.30058704181,2928.91887850491,178.859249680211,2912.98378134634,5.38294042735716,3,1104,0.564215502166256,1.00781290610754,"Ntot.f[3,4]",2025,"pop.size"
2683.52397179105,3056.66942949908,3483.58557523564,3064.82635668059,204.418334015216,3040.18792697931,6.62174931292844,3.2,953,0.621682333902048,1.00776535121208,"Ntot.f[1,5]",2026,"pop.size"
