Lower95,Median,Upper95,Mean,SD,Mode,MCerr,MC.ofSD,SSeff,AC.100,psrf,parameter
0.941243443225182,0.954201193704067,0.967284343535113,0.954322285060575,0.00663029144017282,0.954095726409325,0.000207079828228119,3.1,1025,0.847508121253994,1.0022136161433,mean.phi.ad
0.876346518565599,0.958679739534237,0.997784832437226,0.949408495365495,0.0375605775303566,0.96978480053353,0.000188416420673868,0.5,39740,0.0204274304153985,1.0000325629374,phi.ad[1]
0.827030650026596,0.926231032509964,0.992428411670202,0.917856757043344,0.0465895386917595,0.939684039651109,0.000190200995244108,0.4,60000,0.00203532807048081,1.00005427544391,phi.ad[2]
0.824817749355898,0.940093204845546,0.997281942206845,0.927156365818907,0.0511575789557081,0.957787060724787,0.000209711063863821,0.4,59508,0.00300023461205909,1.0000608587183,phi.ad[3]
0.822690787063747,0.914571031837127,0.987820252699226,0.908835018314394,0.0448191220214114,0.923447936837382,0.000183596188308554,0.4,59594,0.000218423980799286,1.00004683615947,phi.ad[4]
0.751521725121122,0.87367358755877,0.973393262470884,0.867397164208366,0.0593773533328028,0.887763924517119,0.000374257353148312,0.6,25171,0.0338080050160069,1.00008714153698,phi.ad[5]
0.856610851547295,0.936058875533134,0.992008582392863,0.930046276117334,0.0376707396964511,0.946735090465391,0.000159631637139171,0.4,55689,0.00741690709537503,1.00015078973697,phi.ad[6]
0.894609857772866,0.953156809484835,0.994990681001053,0.94862851433428,0.0280388237960099,0.960388681970546,0.000130187879618211,0.5,46385,0.0165399906518367,1.00009265764963,phi.ad[7]
0.941137292694348,0.975162088489102,0.997718734126615,0.972342104285396,0.0160660245163111,0.980136970542434,0.000138680178732195,0.9,13421,0.068029583380558,1.00017015166568,phi.ad[8]
0.827748289668069,0.913744352190487,0.983577138526382,0.908896020155753,0.0415710360888805,0.921215139265846,0.000186374555092256,0.4,49752,0.009780237602707,1.00002419451412,phi.ad[9]
0.914570364392046,0.96331759518764,0.996986969860548,0.959275429245461,0.0232031134916213,0.969069426283419,0.000145386156903841,0.6,25471,0.0318839572341191,1.00025393405989,phi.ad[10]
0.845036082387225,0.918507375527861,0.980023402135867,0.914914954573174,0.0356602267491414,0.925327070826897,0.000145582266078907,0.4,60000,0.0053717116278778,0.999988663295488,phi.ad[11]
0.857600393959049,0.928133850757071,0.984184389133148,0.924475807009993,0.033690579946178,0.934074068234173,0.00013850891958433,0.4,59165,0.000528775129407294,1.00003928492857,phi.ad[12]
0.837320915322946,0.912282254335489,0.975040457868088,0.908809535949662,0.036044370762917,0.917343375231198,0.000172000277479897,0.5,43915,0.0191715274738379,1.00014375700754,phi.ad[13]
0.871273132395118,0.936725466240245,0.987531747564141,0.932772704201577,0.0313450760825091,0.944347822503077,0.000128205811232652,0.4,59776,0.00699754659050588,1.00013821654072,phi.ad[14]
0.871822106891133,0.952461214485336,0.996816181961449,0.944364242504609,0.0362977925527263,0.96413193815932,0.000151352927684992,0.4,57515,0.00344319595542284,0.999980092583744,phi.ad[15]
0.933495886226451,0.970562245020349,0.99686531692089,0.96766171636861,0.0177616372238559,0.975141970761092,0.000126551897637025,0.7,19698,0.0381840188234818,1.00005887271543,phi.ad[16]
0.898729617207852,0.960739140320139,0.996909433843854,0.954716437236447,0.0285066951892766,0.969943676939235,0.000122224077063853,0.4,54398,0.0090677188934755,1.00006792992171,phi.ad[17]
0.905562950300165,0.962486121776239,0.996612592394782,0.957302609084643,0.0262156531067177,0.970892470360021,0.000115686711877571,0.4,51352,0.0125381412888263,1.00014534140717,phi.ad[18]
0.898168936939276,0.951353318650477,0.993362953006317,0.94784227057392,0.0259094827293661,0.956568599858584,0.000108374095309709,0.4,57157,0.00487398537534338,1.00002471615055,phi.ad[19]
0.806413897332962,0.877885978063658,0.945337417667075,0.876566183508139,0.0358141973238361,0.880373591569748,0.000301029456590986,0.8,14154,0.0579024841077858,1.00027388639172,phi.ad[20]
0.932380142023968,0.968632978533445,0.996129562867916,0.966088946675313,0.017462263672836,0.972648460817824,0.000124826131171838,0.7,19570,0.0472782728649108,1.00023387894884,phi.ad[21]
0.905402328460143,0.952855645707841,0.990985087142041,0.950269517987507,0.0229189069743935,0.957101976907295,0.00010827323524867,0.5,44807,0.0140365586932156,0.999982383340062,phi.ad[22]
0.842223285135727,0.905703560329912,0.966519139437703,0.904569150689239,0.0320738247110032,0.908759062599121,0.000163834853410503,0.5,38326,0.0330423173079568,1.00020433746982,phi.ad[23]
0.883790015058147,0.952254920648701,0.996021506836216,0.946466224572665,0.0318141767785536,0.963509828883257,0.000158785066531221,0.5,40144,0.0193018463083269,1.00023966099419,phi.ad[24]
0.862555543210927,0.918384866915452,0.967982601772095,0.916527867033331,0.0273831006826943,0.921497915733767,0.000122935161068979,0.4,49615,0.0217815554413042,1.00008222566763,phi.ad[25]
0.915010360462429,0.945353840205908,0.974256973978719,0.945045476016472,0.0151918961753734,0.945659952906033,0.000201500110995147,1.3,5684,0.614293303859303,1.00049476382952,phi.ad[26]
0.943367139728735,0.96964068078851,0.992543717030396,0.968635562020778,0.0129106890287865,0.971768760318828,0.000109958075204547,0.9,13786,0.27200485306587,1.00000703073912,phi.ad[27]
0.91871647999077,0.951760607257544,0.982261845613544,0.950941179105496,0.016429051908612,0.952941389250387,0.00025188772174016,1.5,4254,0.410665472812101,1.00175141619327,phi.ad[28]
0.906022508614489,0.939114945560071,0.969920333213114,0.938432582415687,0.0163606974266859,0.94048229812323,0.00035433934794721,2.2,2132,0.327830613658209,1.00312248752554,phi.ad[29]
