Lower95,Median,Upper95,Mean,SD,Mode,MCerr,MC.ofSD,SSeff,AC.200,psrf,parameter
0.7499129963517,0.806465269391594,0.862110182118067,0.805849560019328,0.028799167689277,,0.00112494463987184,3.9,655,0.482643875003224,1.02077602891529,mean.phi.juv
0.7499129963517,0.806465269391594,0.862110182118067,0.805849560019328,0.028799167689277,,0.00112494463987183,3.9,655,0.482643875003224,1.02077602891529,phi.juv[1]
0.517884800301231,0.753479000403032,0.955950604572701,0.74300066007926,0.117862647006692,,0.00119006925906974,1,9809,0.0292732560119802,1.00141020527015,phi.juv[2]
0.7499129963517,0.806465269391594,0.862110182118067,0.805849560019328,0.028799167689277,,0.00112494463987183,3.9,655,0.482643875003224,1.02077602891529,phi.juv[3]
0.525331362138857,0.734526437727328,0.939666845953801,0.730255798974274,0.11016512139912,,0.00138566977234233,1.3,6321,0.0398679525013761,1.00139331310218,phi.juv[4]
0.421164079973294,0.641803293349151,0.881226778734301,0.64510642599653,0.119948953714581,,0.00140185448692709,1.2,7321,0.0381642100354236,1.00118194917832,phi.juv[5]
0.593768753829121,0.786488809696255,0.957470674388908,0.779269067082211,0.0975969753859833,,0.000800259555382464,0.8,14873,0.0230842928166705,1.00097558004633,phi.juv[6]
0.673847925340518,0.838841332758351,0.969161566359167,0.829349401421912,0.0799680283467158,,0.000718162546664718,0.9,12399,0.0195870888143787,1.00122105728784,phi.juv[7]
0.775453221779243,0.895265772336207,0.984646473375922,0.886812177856746,0.0575628073287663,,0.000542326912551539,0.9,11266,0.0242841379167954,1.00142446722332,phi.juv[8]
0.54443453626758,0.742279712709148,0.930837815606571,0.738643081605014,0.101746506674203,,0.00151527810328481,1.5,4509,0.0641793676220476,1.00069062238025,phi.juv[9]
0.696769934579019,0.854639281306263,0.973859070737611,0.845355722588115,0.0755294737724177,,0.000682099708172568,0.9,12261,0.0167906374169181,1.00170726902018,phi.juv[10]
0.578635768836549,0.759099567079552,0.932241864470158,0.756474874035898,0.0926027268948783,,0.00155006771861933,1.7,3569,0.0822384245018241,1.00226460483718,phi.juv[11]
0.605100895425328,0.777122618966959,0.946802735716486,0.773188564958491,0.0903685831321602,,0.00129460661252729,1.4,4873,0.061383979370094,1.00228317115661,phi.juv[12]
0.548826554840421,0.725755244065046,0.90008443159402,0.725483459959526,0.0910124335918927,,0.0013119859975882,1.4,4812,0.05393244271353,1.00108778099643,phi.juv[13]
0.636009338405572,0.799408725361109,0.952870125227951,0.794306578858429,0.0839650457564011,,0.000957136678465913,1.1,7696,0.0309601234176929,1.00059970803924,phi.juv[14]
0.7499129963517,0.806465269391594,0.862110182118067,0.805849560019328,0.028799167689277,,0.00112494463987183,3.9,655,0.482643875003224,1.02077602891529,phi.juv[15]
0.780411492366629,0.895751151682237,0.981584644848379,0.88800103880977,0.0549164234464889,,0.000524582473414429,1,10959,0.0300645483479317,1.00172096092567,phi.juv[16]
0.7499129963517,0.806465269391594,0.862110182118067,0.805849560019328,0.028799167689277,,0.00112494463987183,3.9,655,0.482643875003224,1.02077602891529,phi.juv[17]
0.7499129963517,0.806465269391594,0.862110182118067,0.805849560019328,0.028799167689277,,0.00112494463987183,3.9,655,0.482643875003224,1.02077602891529,phi.juv[18]
0.683217364198019,0.83681392371769,0.962533360528288,0.83031500850892,0.0748759981653556,,0.000862543138072879,1.2,7536,0.0539989949139355,1.00082379871798,phi.juv[19]
0.533415062491234,0.691779251974909,0.861834396074771,0.69331974870736,0.0845511336863986,,0.0018206891963569,2.2,2157,0.119633512914604,1.0014882579553,phi.juv[20]
0.756033066959424,0.877087308566267,0.975148765776752,0.870990617714628,0.0590359383478921,,0.000513820852954965,0.9,13201,0.0256748530107627,1.00150850111537,phi.juv[21]
0.709015933467719,0.846811321432665,0.964559177794564,0.841010417758139,0.0677533297240159,,0.000814755359927878,1.2,6915,0.0330561266183263,1.00177281142494,phi.juv[22]
0.58130732354472,0.734468541462175,0.899451655500982,0.736903086257779,0.0824156921851987,,0.00149237152875614,1.8,3050,0.0984339100652308,1.00242840919789,phi.juv[23]
0.7499129963517,0.806465269391594,0.862110182118067,0.805849560019328,0.028799167689277,,0.00112494463987183,3.9,655,0.482643875003224,1.02077602891529,phi.juv[24]
0.65563504636879,0.80303527629477,0.942585106199927,0.800633216043173,0.0748379970917961,,0.00156015442224242,2.1,2301,0.133947646919761,1.00420819840441,phi.juv[25]
0.639187684698269,0.787655066337897,0.933156354741759,0.782816760094603,0.0794997829437861,,0.00442880771538471,5.6,322,0.728285502262315,1.0192226589306,phi.juv[26]
0.708136395196063,0.829370657049843,0.947651580198993,0.82751854574096,0.0621761564566006,,0.00214931111824513,3.5,837,0.39625595892324,1.0079589356775,phi.juv[27]
0.829822016325429,0.915995261187111,0.9867298146468,0.91027514266531,0.0427182542390849,,0.0011257025751196,2.6,1440,0.261104020452576,1.00294135426921,phi.juv[28]
0.795836285791669,0.897454779680503,0.977595669397764,0.891625828851828,0.0493576423330077,,0.00145065516600773,2.9,1158,0.267478435213642,1.00550627478796,phi.juv[29]
0.564381965180308,0.681040097592276,0.79951537384298,0.6814842865485,0.0604492838903931,,0.00197536690638911,3.3,936,0.359735000539638,1.0034821368569,phi.juv[30]
0.651046045242069,0.755633866967371,0.862722381843172,0.756096526517635,0.0538878960384382,,0.00184240268094871,3.4,855,0.323073906396737,1.01210526634334,phi.juv[31]
0.74496508936337,0.84793923249599,0.939542626897907,0.846138932970984,0.050266890328765,,0.00110770376547276,2.2,2059,0.177226270992103,1.00038119063903,phi.juv[32]
